"city","site","variable","value","year"
"hote","BELP","Median value",570603.51438739,1
"slmo","BEN1","Median value",162151.577413905,1
"jams","BGP","Median value",33631.5753512868,1
"jams","BOP","Median value",52908.9971410149,1
"jams","BRP","Median value",24134.9403796899,1
"hote","CCEC1","Median value",9259.82281286435,1
"hote","CHMP","Median value",13307.1899864662,1
"slmo","CHP1","Median value",175121.122138069,1
"jams","CHS","Median value",65199.1363551293,1
"jams","CLN","Median value",32437.6506785234,1
"jams","CON","Median value",17640.7592461514,1
"jams","CRN","Median value",45485.6741736082,1
"hote","CULP","Median value",69947.5724624823,1
"slmo","EMG1","Median value",86241.6140920373,1
"hote","FHNA","Median value",27832.4930290483,1
"hote","FONP","Median value",75987.5237947145,1
"jams","FOP","Median value",52584.743790509,1
"jams","FRP","Median value",109154.363699677,1
"slmo","FRP1","Median value",171847.240161529,1
"jams","GAS","Median value",63376.4196671939,1
"hote","GCGC","Median value",46456.9321005836,1
"hote","GLWC","Median value",150092.553894995,1
"jams","GRC","Median value",93965.9568225386,1
"jams","GRN","Median value",7599.5431783397,1
"hote","GWGC","Median value",102375.103441122,1
"hote","HANC","Median value",349822.809316186,1
"hote","HBSP","Median value",512784.228451113,1
"hote","HPGC","Median value",150121.092775693,1
"hote","HUNP","Median value",24575.0876248946,1
"slmo","KWP1","Median value",116702.814246153,1
"jams","LAC1","Median value",28269.1782981923,1
"jams","LAC2","Median value",38929.928468598,1
"slmo","LAF1","Median value",341060.139792295,1
"jams","LAP","Median value",88645.796512402,1
"jams","LEN","Median value",62066.1318213798,1
"hote","LGRP","Median value",17730.8229680958,1
"jams","LIP","Median value",28505.5827078814,1
"slmo","LKL1","Median value",203930.073272973,1
"lrar","LRAR-ALS1","Median value",67014.0801979486,1
"lrar","LRAR-BUR1","Median value",11984.6616055541,1
"lrar","LRAR-BUR2","Median value",43447.714646852,1
"lrar","LRAR-BUR3","Median value",17147.7249805228,1
"lrar","LRAR-COM1","Median value",9742.10681658178,1
"lrar","LRAR-CON1","Median value",13786.6229783847,1
"lrar","LRAR-COO1","Median value",15999.5020448637,1
"lrar","LRAR-CPL1","Median value",41333.6066049582,1
