"Site","City","gentrifying","mean_19","mu","sd"
"W01-SLP1","deco",TRUE,-0.013762329257557,7.8262,1.57571892735589
"W02-CHP1","deco",FALSE,-0.230574969484465,4.1872,1.28984064821185
"W02-HOL1","deco",FALSE,-0.071412931667196,5.7982,1.37224391806782
"W02-MOR1","deco",TRUE,0.016347313664446,7.4146,1.12024900426928
"W02-SUN1","deco",FALSE,0.129331834338408,5.1112,0.987840941622278
"W02-WBP1","deco",TRUE,0.12739771936341,6.7104,1.1998415578537
"W03-CPP1","deco",FALSE,-0.048552920192726,6.1174,1.31055742039425
"W03-DAN1","deco",FALSE,-0.100334738296699,6.2246,1.40219401996083
"W03-GRA1","deco",FALSE,-0.096521939125601,8.3474,1.0566629298454
"W03-MGP1","deco",FALSE,-0.268117619222918,6.9464,1.46709151435836
"W04-APE1","deco",FALSE,-0.307581109533299,9.2288,1.24722158108913
"W04-PVP1","deco",TRUE,-0.019010090060218,7.0518,1.28228140792956
"W04-STM1","deco",TRUE,-0.24620110588487,10.4106,1.30351350951722
"W04-WES1","deco",TRUE,0.072889195529179,5.1678,1.3408962527176
"W04-WSP1","deco",FALSE,-0.344198359091177,4.7612,1.58021326876943
"BELP","hote",FALSE,0.249554994021503,4.9468,1.30227068683448
"CCEC1","hote",TRUE,-0.300380521663202,10.56,1.40441962350851
"CHMP","hote",FALSE,-0.321687467166372,9.2516,1.02161939157215
"CULP","hote",TRUE,0.252463923198416,7.6396,1.17421786629207
"FHNA","hote",FALSE,-0.269793504966075,9.822,1.20225000770065
"FONP","hote",TRUE,0.240442771509489,6.2294,1.28230437139557
"GCGC","hote",FALSE,-0.167673988188317,9.9958,1.24148726055632
"GLWC","hote",FALSE,0.270873064108456,8.1114,0.984268152872657
"GWGC","hote",TRUE,0.142500309466914,5.8304,0.839867201040186
"HANC","hote",FALSE,-0.0764028978641275,9.021,1.14927070989951
"HBSP","hote",FALSE,-0.0419220952436475,8.703,1.14623460546005
"HPGC","hote",FALSE,0.127694153217254,7.364,1.09715301984262
"HUNP","hote",FALSE,0.0733339755961775,7.3686,1.06778371986769
"LGRP","hote",FALSE,-0.13468386051007,8.306,1.19140584587197
"MGP","hote",FALSE,0.100421271666227,1.4776,0.668122382130325
"MOCC","hote",FALSE,-0.346134129627602,11.0556,1.23677587416338
"MPNA1","hote",FALSE,0.00286399789761349,8.8342,1.22368698692451
"MPNA2","hote",FALSE,-0.182119760324116,11.9028,1.32291427554324
"ROSP","hote",FALSE,0.0201975597359085,7.8646,1.21250190604982
"SCRNT","hote",FALSE,-0.110238949857894,10.3926,1.10050327645687
"SOPC","hote",FALSE,-0.134954257440154,9.3642,1.08710382160297
"SPTP","hote",FALSE,0.261981981860958,6.155,1.25940153185697
"UHBW","hote",FALSE,0.132077883385564,5.6628,0.785633250264259
"UHSP","hote",TRUE,0.27891783524011,5.0208,1.21320308784081
"WCJP","hote",FALSE,-0.0673322880530196,7.4818,1.01305183223908
"M01-PRG1","inin",TRUE,0.269548392395307,9.2032,1.02670374700632
"M02-BCF1","inin",FALSE,0.386903612190833,11.058,0.960635500131461
"M02-OBP1","inin",TRUE,0.239059981128828,7.3424,1.09096300581459
"M02-SBP2","inin",TRUE,0.173705632169744,10.3546,1.08475535437064
"M03-FCP1","inin",TRUE,0.123457352024261,11.6358,1.174833778405
