"Site","City","Season","gentrifying","mean_19","mu","sd"
"SFCA-D01-RUS1","baca","JA20",FALSE,0.295330766260436,1.563,0.681525823241331
"SFCA-O01-GGP1","baca","JA20",FALSE,0.00416413778173685,2.4588,0.648956604456297
"SFCA-O01-LPK1","baca","JA20",FALSE,-0.0261172651398962,5.4385,0.641762367152819
"SFCA-O01-LPK2","baca","JA20",FALSE,-0.156018396956462,2.4808,0.669086039020963
"SFCA-O02-BRO1","baca","JA20",FALSE,-0.207394162106327,3.5139,0.684874948709279
"SFCA-O02-LKM1","baca","JA20",FALSE,-0.0610399177599051,2.4456,0.64566425348847
"SFCA-O02-LKM2","baca","JA20",FALSE,-0.303751697035236,0.705,0.795259859306618
"SFCA-O02-PLK1","baca","JA20",FALSE,0.183906997591601,4.5138,0.663666787899271
"SFCA-O02-WSN1","baca","JA20",TRUE,0.298893875470049,1.8209,0.838029485962119
"WP","baca","JA20",FALSE,-0.220360136420607,1.8097,0.845788061954397
"AB","baca","AP20",TRUE,0.250541323221692,3.8265,0.849982350993066
"CR","baca","AP20",FALSE,-0.164749591080401,4.5359,0.703392256188968
"DK","baca","AP20",FALSE,-0.0418368752316391,0.4833,0.669899982533706
"EN","baca","AP20",FALSE,0.126845538744413,3.807,0.715683044526012
"GT","baca","AP20",FALSE,-0.38487504528078,1.952,0.904200065127059
"HBT","baca","AP20",FALSE,-0.449429869214362,2.1702,0.995254245457567
"HT","baca","AP20",FALSE,-0.421143973424912,5.9326,0.895286207723192
"MA","baca","AP20",FALSE,0.266384420252625,3.621,0.674984859427266
"MT","baca","AP20",FALSE,-0.413693975580284,2.231,1.00525621311455
"MY","baca","AP20",TRUE,0.264602658847946,0.9311,0.889174815874426
"PER","baca","AP20",FALSE,0.0342902484151569,4.4308,0.612575615649602
"SFCA-001-GGP2","baca","AP20",FALSE,-0.0386106927019881,3.5065,0.687026164345325
"SFCA-C01-BVA1","baca","AP20",FALSE,0.255683205894402,2.6188,0.723421657050291
"SFCA-C01-GGP3","baca","AP20",FALSE,0.0406645109244479,2.4792,0.661219389543373
"SFCA-C01-GGP4","baca","AP20",FALSE,0.0558178722776279,4.5304,0.694495552474773
"SFCA-C01-PRE1","baca","AP20",FALSE,-0.289945696261742,2.8023,0.852342277923531
"SFCA-C01-PRE2","baca","AP20",FALSE,-0.0581810163914761,2.5628,0.72643577203569
"SFCA-C01-USF1","baca","AP20",FALSE,0.269528715848673,1.5694,0.700737285488882
"SFCA-C02-DOU1","baca","AP20",FALSE,0.139386876701078,2.5358,0.682323175988951
"SFCA-C02-GLN1","baca","AP20",FALSE,0.103346782169429,0.5305,0.682287550546075
"SFCA-C02-IGB1","baca","AP20",FALSE,0.0717003937675989,3.5075,0.66872151815751
"SFCA-C02-LGH1","baca","AP20",FALSE,0.0381817691257649,3.5047,0.67603521532627
"SFCA-C02-MTD1","baca","AP20",FALSE,0.0919178431734219,2.5891,0.724095036139688
"SFCA-C03-BER1","baca","AP20",FALSE,0.325394324776759,1.6001,0.705853960094649
"SFCA-C03-BVH1","baca","AP20",TRUE,0.0907919760625849,2.8932,0.877764664976159
"SFCA-C03-JMP1","baca","AP20",TRUE,0.0540556946271979,2.8233,0.84649203473895
"SFCA-C03-JMP2","baca","AP20",FALSE,0.119458970085683,1.5251,0.676029357032043
"SFCA-C03-JMP3","baca","AP20",TRUE,0.0421158665469689,1.8586,0.866187663330996
"SFCA-D01-POT1","baca","AP20",FALSE,0.356810547036083,2.6745,0.747800555340163
"SFCA-D01-RUS1","baca","AP20",FALSE,0.295330766260436,0.5702,0.684192057741967
"SFCA-O01-GGP1","baca","AP20",FALSE,0.00416413778173685,1.4822,0.660096002618761
"SFCA-O02-BRO1","baca","AP20",FALSE,-0.207394162106327,3.5558,0.716196658582946
"SFCA-O02-LKM1","baca","AP20",FALSE,-0.0610399177599051,2.4755,0.678856269458755
"SFCA-O02-LKM2","baca","AP20",FALSE,-0.303751697035236,1.709,0.796606840446292
"SFCA-O02-PLK1","baca","AP20",FALSE,0.183906997591601,3.532,0.682218837510535
"SFCA-O02-WSN1","baca","AP20",TRUE,0.298893875470049,0.8125,0.841317140829275
"WP","baca","AP20",FALSE,-0.220360136420607,2.6263,0.756773136784106
"AB","baca","JU20",TRUE,0.250541323221692,3.873,0.86610970125121
"BT","baca","JU20",FALSE,-0.44694851967188,5.1358,1.26392963087791
"CB","baca","JU20",FALSE,-0.206293291986469,2.8763,0.895141574190242
"CR","baca","JU20",FALSE,-0.164749591080401,5.3962,0.613402955909598
"DK","baca","JU20",FALSE,-0.0418368752316391,1.2982,0.536195403328912
"EN","baca","JU20",FALSE,0.126845538744413,2.5989,0.675325400410531
"GT","baca","JU20",FALSE,-0.38487504528078,0.859,0.866829936846866
"H18","baca","JU20",FALSE,-0.381229077066501,4.296,1.03676973776674
"HBT","baca","JU20",FALSE,-0.449429869214362,1.9444,0.89832585342619
"HT","baca","JU20",FALSE,-0.421143973424912,5.8889,0.865581719522378
"MA","baca","JU20",FALSE,0.266384420252625,2.5781,0.676864982563334
"MT","baca","JU20",FALSE,-0.413693975580284,1.733,1.20393353038885
"PER","baca","JU20",FALSE,0.0342902484151569,3.4565,0.642611114831117
"SFCA-C01-GGP3","baca","JU20",FALSE,0.0406645109244479,3.5126,0.681826758621922
"SFCA-C01-GGP4","baca","JU20",FALSE,0.0558178722776279,3.5442,0.692021856175759
"SFCA-C01-PRE1","baca","JU20",FALSE,-0.289945696261742,1.8505,0.875572048800819
"SFCA-C01-PRE2","baca","JU20",FALSE,-0.0581810163914761,2.5962,0.739324164370408
"SFCA-C01-USF1","baca","JU20",FALSE,0.269528715848673,1.5893,0.717549299839231
"SFCA-C02-GLN1","baca","JU20",FALSE,0.103346782169429,3.5488,0.696611144548141
"SFCA-C02-IGB1","baca","JU20",FALSE,0.0717003937675989,1.5366,0.695491776285736
"SFCA-C02-LGH1","baca","JU20",FALSE,0.0381817691257649,3.5124,0.686362403788941
"SFCA-C02-MTD1","baca","JU20",FALSE,0.0919178431734219,1.5698,0.705391889499573
"SFCA-C03-BER1","baca","JU20",FALSE,0.325394324776759,3.6241,0.717530957567342
"SFCA-C03-BVH1","baca","JU20",TRUE,0.0907919760625849,3.8316,0.850713707060806
"SFCA-C03-JMP1","baca","JU20",TRUE,0.0540556946271979,3.8662,0.872796503988036
"SFCA-C03-JMP2","baca","JU20",FALSE,0.119458970085683,1.5614,0.700484909124237
"SFCA-D01-POT1","baca","JU20",FALSE,0.356810547036083,1.6615,0.752445591014223
"SFCA-D01-RUS1","baca","JU20",FALSE,0.295330766260436,1.5895,0.705010250950576
"SFCA-O01-GGP1","baca","JU20",FALSE,0.00416413778173685,3.5171,0.680847960556936
"SFCA-O01-LPK1","baca","JU20",FALSE,-0.0261172651398962,2.6229,0.752297936470998
"SFCA-O01-LPK2","baca","JU20",FALSE,-0.156018396956462,1.7321,0.816453458333641
"SFCA-O02-BRO1","baca","JU20",FALSE,-0.207394162106327,0.7425,0.837653816556481
"SFCA-O02-LKM1","baca","JU20",FALSE,-0.0610399177599051,2.5262,0.702967265452403
"SFCA-O02-LKM2","baca","JU20",FALSE,-0.303751697035236,0.8133,0.855637961775986
"SFCA-O02-WSN1","baca","JU20",TRUE,0.298893875470049,0.8439,0.85580723916257
"WP","baca","JU20",FALSE,-0.220360136420607,2.5611,0.72368443531431
"AB","baca","OC20",TRUE,0.250541323221692,2.9449,0.905177289039257
"CB","baca","OC20",FALSE,-0.206293291986469,1.8365,0.872607525975704
"CR","baca","OC20",FALSE,-0.164749591080401,3.8944,0.882454821875469
"DK","baca","OC20",FALSE,-0.0418368752316391,0.8336,0.795093867053282
"EN","baca","OC20",FALSE,0.126845538744413,1.6077,0.717113753328941
"H18","baca","OC20",FALSE,-0.381229077066501,3.1673,0.990963627430941
"HBT","baca","OC20",FALSE,-0.449429869214362,3.4191,1.35197558180515
"HT","baca","OC20",FALSE,-0.421143973424912,4.0298,0.93562786403035
"MA","baca","OC20",FALSE,0.266384420252625,1.6909,0.753003247927351
"MT","baca","OC20",FALSE,-0.413693975580284,4.2179,1.00971359412173
"SFCA-001-GGP2","baca","OC20",FALSE,-0.0386106927019881,2.6164,0.750538054156532
"SFCA-C01-GGP3","baca","OC20",FALSE,0.0406645109244479,3.5217,0.689040338194192
"SFCA-C01-GGP4","baca","OC20",FALSE,0.0558178722776279,3.5239,0.676959834452345
"SFCA-C01-PRE1","baca","OC20",FALSE,-0.289945696261742,1.8933,0.897215475546959
"SFCA-C01-USF1","baca","OC20",FALSE,0.269528715848673,1.5916,0.708420514922173
"SFCA-C02-GLN1","baca","OC20",FALSE,0.103346782169429,3.5328,0.67791601029309
"SFCA-C02-IGB1","baca","OC20",FALSE,0.0717003937675989,3.5134,0.67960770056163
"SFCA-C02-LGH1","baca","OC20",FALSE,0.0381817691257649,3.5268,0.688134516581817
"SFCA-C02-MTD1","baca","OC20",FALSE,0.0919178431734219,4.53,0.685234963129779
"SFCA-C03-ALA1","baca","OC20",TRUE,0.303785132217073,4.8513,0.853147757489646
"SFCA-C03-BER1","baca","OC20",FALSE,0.325394324776759,2.6083,0.719112524075494
"SFCA-C03-BVH1","baca","OC20",TRUE,0.0907919760625849,2.9417,0.898544293947059
"SFCA-C03-JMP1","baca","OC20",TRUE,0.0540556946271979,2.8818,0.882330216336869
"SFCA-C03-JMP2","baca","OC20",FALSE,0.119458970085683,3.5394,0.686509118276624
"SFCA-D01-POT1","baca","OC20",FALSE,0.356810547036083,2.6409,0.730068825556197
"SFCA-D01-RUS1","baca","OC20",FALSE,0.295330766260436,0.5986,0.71030169143068
"SFCA-O01-GGP1","baca","OC20",FALSE,0.00416413778173685,2.5371,0.702618642860926
"SFCA-O01-LPK1","baca","OC20",FALSE,-0.0261172651398962,3.5287,0.701160090526589
"SFCA-O01-LPK2","baca","OC20",FALSE,-0.156018396956462,2.5967,0.741420312918415
"SFCA-O01-SUN1","baca","OC20",FALSE,0.107335089274044,2.6098,0.730203587862983
"SFCA-O02-BRO1","baca","OC20",FALSE,-0.207394162106327,2.6159,0.7586993821503
"SFCA-O02-LKM1","baca","OC20",FALSE,-0.0610399177599051,1.5146,0.694287435796119
"SFCA-O02-LKM2","baca","OC20",FALSE,-0.303751697035236,1.7797,0.83128636082963
"SFCA-O02-PLK1","baca","OC20",FALSE,0.183906997591601,3.6137,0.731112688014821
"SFCA-O02-WSN1","baca","OC20",TRUE,0.298893875470049,1.8391,0.865497601735476
"WP","baca","OC20",FALSE,-0.220360136420607,5.6081,0.742003670438829
"AB","baca","JA21",TRUE,0.250541323221692,3.8109,0.83535080720444
"BT","baca","JA21",FALSE,-0.44694851967188,4.6405,1.13216073452177
"CB","baca","JA21",FALSE,-0.206293291986469,5.6708,0.788219188391716
"CR","baca","JA21",FALSE,-0.164749591080401,3.733,0.827151387559614
"EN","baca","JA21",FALSE,0.126845538744413,0.646,0.750959648742463
"GT","baca","JA21",FALSE,-0.38487504528078,2.7705,1.18657934713811
"H18","baca","JA21",FALSE,-0.381229077066501,3.1491,0.991749739982157
"HBT","baca","JA21",FALSE,-0.449429869214362,1.7667,1.19541374067774
"HT","baca","JA21",FALSE,-0.421143973424912,4.057,0.940446406736925
"MT","baca","JA21",FALSE,-0.413693975580284,5.9969,0.905191873158792
"MY","baca","JA21",TRUE,0.264602658847946,1.3514,1.06302918262121
"SFCA-001-GGP2","baca","JA21",FALSE,-0.0386106927019881,3.5374,0.704166759427416
"SFCA-C01-GGP3","baca","JA21",FALSE,0.0406645109244479,3.5115,0.68331137956582
"SFCA-C01-GGP4","baca","JA21",FALSE,0.0558178722776279,3.5233,0.686078844170291
"SFCA-C01-PRE1","baca","JA21",FALSE,-0.289945696261742,3.7542,0.825257817319233
"SFCA-C01-PRE2","baca","JA21",FALSE,-0.0581810163914761,2.6099,0.752714187367813
"SFCA-C01-USF1","baca","JA21",FALSE,0.269528715848673,2.5731,0.695345051376687
"SFCA-C02-DOU1","baca","JA21",FALSE,0.139386876701078,2.5973,0.728001173468049
