City,Site,Long,Lat
chil,S07-ARG2,-87.98063145,41.70899378
chil,S07-STJ1,-87.93211936,41.69819734
chil,S08-WGL1,-87.99914707,41.69378812
chil,S08-WGL3,-87.95901986,41.7045601
chil,S09-KTP1,-88.03380771,41.6782417
chil,S09-SMC1,-88.01264245,41.65701595
chil,S09-VTW0,-88.05987667,41.67081215
chil,S10-ILC1,-88.06930047,41.63776364
chil,S10-LEW1,-88.07710241,41.5993927
chil,S10-LPC1,-88.04816511,41.5915763
chil,S10-LPP0,-88.07212554,41.58289314
deco,E01-CHE1,-104.9682201,39.73452005
deco,E01-CON1,-104.9551402,39.7292898
deco,E01-CPE1,-104.9412496,39.75075042
deco,E01-CPW1,-104.9590396,39.74580966
deco,E01-SGP1,-104.99273,39.73061013
deco,E02-FTP1,-104.8994904,39.75219044
deco,E02-LIN1,-104.9317404,39.73360962
deco,E02-MCN1,-104.8991196,39.74395029
deco,E02-MON1,-104.9087401,39.73452998
deco,E02-VER1,-104.89079,39.73474964
deco,E03-CWP1,-104.8265496,39.75431997
deco,E03-DMP1,-104.8481194,39.72309019
deco,E03-GEN1,-104.8461294,39.74223968
deco,E03-SAC1,-104.8403695,39.75645989
deco,E03-SPG1,-104.8595303,39.74347034
deco,E04-APM1,-104.7983003,39.72698964
deco,E04-SCR1,-104.7720495,39.73501962
deco,E04-SKE1,-104.7948,39.74422003
deco,E04-SKW1,-104.8025604,39.7528301
deco,E04-TER1,-104.7684602,39.74813045
deco,W01-BAR1,-105.0274002,39.72290969
deco,W01-GCP1,-105.0162803,39.74689968
deco,W01-LIP1,-105.0044896,39.73665973
deco,W01-MAR1,-105.0412198,39.7305697
deco,W01-SLP1,-105.0403001,39.74427005
deco,W02-CHP1,-105.0980801,39.75691025
deco,W02-HOL1,-105.0975701,39.72888985
deco,W02-MOR1,-105.0870497,39.74593022
deco,W02-SUN1,-105.1150199,39.73368984
deco,W02-WBP1,-105.0608403,39.74338982
deco,W03-CPP1,-105.1397097,39.75611976
deco,W03-DAN1,-105.1415196,39.73695019
deco,W03-GRA1,-105.1263797,39.75172996
deco,W03-MGP1,-105.1634399,39.76001
deco,W04-APE1,-105.2191996,39.71931995
deco,W04-PVP1,-105.1724403,39.73688044
deco,W04-STM1,-105.1838097,39.74349
deco,W04-WES1,-105.1854795,39.72981976
deco,W04-WSP1,-105.24217,39.7531896
inin,M01-PRG1,-86.14124818,39.74438565
inin,M01-SAP1,-86.12861121,39.74171912
inin,M02-BCF1,-86.1406152,39.77277956
inin,M02-OBP1,-86.14025599,39.78822898
inin,M02-SBP2,-86.1196739,39.78596904
inin,M03-FCP1,-86.14297399,39.81116224
inin,M03-GWP1,-86.11833247,39.81657456
inin,M03-ISD1,-86.13977524,39.83346329
inin,M04-BAS1,-86.12840246,39.8541236
inin,M04-FRP1,-86.16023337,39.86121671
inin,M04-MAP1,-86.14044844,39.88649208
inin,M05-ISB2,-86.1452568,39.89465895
inin,M05-SDC1,-86.15046029,39.91705043
inin,M05-SGC1,-86.13142726,39.92478303
inin,M06-MCP1,-86.13240565,39.95072573
inin,M06-PGC1,-86.15310019,39.94570989
inin,M07-CAC1,-86.12920428,39.99009919
inin,M07-CCT1,-86.13636599,40.00913966
inin,M07-WFD1,-86.12472999,40.00861989
inin,M08-FTP1,-86.12030817,40.04949527
inin,M08-MMT2,-86.14102174,40.03963027
inin,M08-WGP1,-86.14166967,40.06086787
inin,W01-GFP3,-86.14888904,39.73541028
inin,W01-HCC1,-86.16041277,39.73534463
inin,W01-WRG1,-86.17047327,39.73915613
inin,W02-CRS2,-86.1886109,39.77663173
inin,W02-EMP1,-86.17451719,39.78617841
inin,W02-IZO3,-86.17611137,39.76756792
inin,W03-CHC1,-86.1806723,39.8272713
inin,W03-MEL1,-86.20509791,39.81830337
inin,W03-RGC1,-86.19830874,39.81072615
inin,W04-BHC2,-86.2244592,39.86829968
inin,W04-JSP1,-86.18721393,39.86592194
inin,W04-ROW1,-86.21018319,39.87946655
inin,W04-WPC1,-86.20619485,39.85516768
inin,W05-CPE1,-86.20734291,39.91649911
inin,W05-IHS1,-86.21531571,39.89896982
inin,W06-CNP1,-86.258519,39.94755918
inin,W06-LRF1,-86.24696409,39.9595064
inin,W06-UHS1,-86.21029945,39.95277002
inin,W07-INA1,-86.25558504,39.9860299
inin,W07-UES2,-86.24524842,40.00095335
inin,W07-WAF1,-86.23535231,40.01085586
inin,W08-NST3,-86.24444302,40.04084456
inin,W08-ROS1,-86.28525381,40.04458211
ioio,A01-RES1,-91.64490111,41.80741902
ioio,A01-WMA1,-91.65174984,41.7988532
ioio,A01-WMA2,-91.69326867,41.81164522
ioio,A01-WMA3,-91.67442613,41.81405925
ioio,A02-FUH1,-91.64792741,41.76023245
ioio,A02-MET1,-91.60995524,41.77062335
ioio,A02-RES2,-91.63778085,41.79291508
ioio,A02-WMA4,-91.65983228,41.77545826
ioio,A03-CNA1,-91.5913787,41.7447909
ioio,A03-JOY1,-91.60218162,41.73687981
ioio,A03-YSC1,-91.59664782,41.72262667
ioio,A04-AUB1,-91.57727491,41.71304836
ioio,A04-DOV1,-91.55577808,41.70787146
ioio,A04-PEN1,-91.55985277,41.67447127
ioio,A04-WAT1,-91.55086992,41.68825588
ioio,A05-BEN1,-91.54837917,41.64991832
ioio,A05-CRE1,-91.5078094,41.65115504
ioio,A05-SAN1,-91.54614971,41.66575122
ioio,A05-SHI1,-91.52935225,41.68022762
ioio,A06-SHP1,-91.52510631,41.63096875
ioio,A06-SYC1,-91.50345434,41.62762651
ioio,A06-SYC2,-91.50317826,41.61724697
ioio,A06-TTB1,-91.52787525,41.61954747
ioio,A07-CCG2,-91.59518298,41.68390195
ioio,A07-UIO1,-91.58142928,41.66951568
ioio,A08-PET1,-91.50418831,41.74424712
ioio,A08-RES3,-91.54411563,41.72507132
ioio,A08-RES4,-91.52301518,41.72457682
ioio,A08-TCP1,-91.51706121,41.74246857
ioio,A09-HRP1,-91.59207443,41.6506691
ioio,A09-KEN1,-91.59403025,41.64080346
ioio,A09-TOK1,-91.60852939,41.63993512
ioio,A09-WCP1,-91.56702402,41.64254149
ioio,A10-ACT1,-91.49790002,41.68224361
ioio,A10-GIL1,-91.48597295,41.6995152
ioio,A10-HHP1,-91.51105313,41.67559664
ioio,A10-HPR1,-91.48861703,41.67589818
jams,ALP,-90.22080445,32.27770733
jams,BAP,-90.20431322,32.28626965
jams,BGP,-90.34643765,32.32919469
jams,BOP,-90.15188795,32.33577021
jams,BRP,-90.10601844,32.29676653
jams,CHS,-90.15763688,32.35636751
